ID,y
1,77.56893
2,93.10895
3,77.765884
4,77.56893
5,111.83171
8,93.5057
10,112.42571
11,93.84331
12,116.23593
14,93.568184
15,116.23593
16,104.489845
17,96.84045
19,93.84331
20,102.72941
21,96.84045
22,117.51351
23,96.84045
26,94.96093
28,93.100624
29,96.84045
33,96.84045
35,94.59955
41,96.84045
42,93.15931
43,117.228226
45,103.105965
46,102.63864
51,93.6805
53,75.34035
55,112.96377
56,95.17636
57,103.611565
58,94.97738
59,99.97868
63,111.742455
64,93.86387
65,102.72941
69,94.614136
71,94.96093
72,102.587135
73,93.6805
76,99.97868
77,102.76863
78,115.022865
82,93.6805
83,102.72941
84,92.968636
85,102.77988
87,111.83171
88,96.84045
89,112.59784
91,92.94614
93,95.054634
94,102.61819
95,94.46038
96,110.15796
97,93.5057
98,112.09262
99,94.27407
101,104.47453
103,112.59784
104,92.67497
105,110.49978
110,95.56263
111,111.6636
113,112.12268
114,93.6805
115,113.54439
117,112.59784
120,93.93395
121,112.09262
122,93.5057
123,114.55604
126,111.668976
132,109.77959
135,101.133804
137,103.61425
138,93.84331
140,95.17636
142,110.96064
144,111.83171
148,93.5057
149,112.73658
155,93.41289
156,111.83171
157,93.5057
162,112.09262
163,94.630585
167,92.82284
172,117.228226
179,114.15517
180,93.04591
181,111.63124
182,93.31505
183,112.59784
185,112.59784
187,111.63124
188,93.6805
189,93.6805
191,92.97771
192,112.95952
193,93.86387
194,111.63124
195,92.70401
196,112.59784
198,95.031204
199,111.83171
201,102.72941
204,93.84331
205,104.489845
206,93.03525
210,93.114296
211,104.47453
216,110.15796
219,116.23593
220,93.430016
221,110.86588
226,111.63124
227,92.97771
228,111.83171
230,111.83171
231,93.5057
235,117.51351
236,93.009895
238,111.83171
242,102.61819
243,92.94614
244,77.82502
245,110.34184
247,111.83171
248,93.31296
249,93.71848
250,112.12268
251,93.009895
253,117.51351
254,95.36753
256,92.84441
257,93.5057
258,118.09751
259,94.27407
262,77.56338
266,94.46908
267,111.83171
272,102.77988
273,112.59784
275,93.04591
276,112.61983
279,93.568184
280,102.72941
283,92.70842
285,111.83171
288,112.59784
289,98.22544
290,102.72941
291,93.114296
292,111.83587
293,110.86588
296,93.5057
297,111.27267
298,115.022865
299,93.6805
304,93.17438
305,76.05095
306,93.84331
307,111.63124
311,103.881035
313,111.63124
314,92.78763
316,93.965744
324,92.31103
327,95.12116
329,93.22379
330,111.63124
337,102.55659
338,93.29449
339,102.72941
340,93.86387
343,93.78081
345,116.23593
346,94.076706
347,111.83171
349,112.607086
350,93.6805
352,111.668976
353,93.17438
354,77.61611
357,92.94614
358,113.17091
362,111.93109
364,112.67571
365,102.37637
366,93.26292
367,111.63124
368,93.84331
370,76.19757
373,94.77396
377,92.78763
378,109.70897
382,99.97868
384,111.83171
390,94.57378
392,112.12268
393,111.71133
395,93.131676
396,103.020615
399,77.38062
406,111.63124
408,111.63124
409,93.17438
410,77.56338
412,118.520515
413,93.5057
419,94.46038
420,111.69366
421,93.5057
430,93.26886
434,93.6805
436,93.6805
437,95.17636
438,93.04591
439,111.83171
440,95.17636
443,111.73995
446,93.6805
448,93.914825
452,93.098366
453,102.71304
457,102.72941
458,93.6805
459,112.89375
460,102.71304
462,103.483955
464,102.71304
465,116.23593
467,112.7049
471,112.39514
472,77.56338
473,92.365654
475,93.84331
480,95.031204
488,114.08723
490,111.63124
491,104.47453
492,77.765884
493,92.94614
497,93.84331
498,111.668976
499,94.847534
500,102.63864
501,93.6805
502,111.83171
506,76.11292
510,109.70897
511,92.388435
512,93.22379
516,93.04591
518,93.94919
519,111.83171
521,93.913895
522,111.83171
526,113.81468
529,97.54433
532,111.83171
533,93.914825
